Contest ID, Bug ID,,, Bug Description,link,,
10, L-01,,, "sandwich approveTransferERC20",https://github.com/code-423n4/2021-05-visorfinance-findings/issues/10,,
10, L-02,,, "Wrong TimeLockERC20 event emitted",https://github.com/code-423n4/2021-05-visorfinance-findings/issues/45,,
10, L-03,,, "Timelock keys are never removed after unlocks",https://github.com/code-423n4/2021-05-visorfinance-findings/issues/37,,
10, L-04,,, "The function onERC721Received () allows writing duplicates in the array "nfts". Another functions dealing with this array do not expect duplicates met.",https://github.com/code-423n4/2021-05-visorfinance-findings/issues/67,,
10, L-05,,, "delegatedTransferERC20 can revert when called by owner",https://github.com/code-423n4/2021-05-visorfinance-findings/issues/21,,
10, L-06,,, "Locking the same funds twice in lock() on line 269 of Visor.sol",https://github.com/code-423n4/2021-05-visorfinance-findings/issues/61,,
10, L-07,,, "Deflationary tokens are not considered in time-locked ERC20 functions",https://github.com/code-423n4/2021-05-visorfinance-findings/issues/78,,
10, L-08,,," ""missing condition in addTemplate(bytes32 name, address template), visorFactory.sol""",https://github.com/code-423n4/2021-05-visorfinance-findings/issues/24,,
100, L-01,,, "transferOwnership should be two step process",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/100.md#l-01-transferownership-should-be-two-step-process,,
100, L-02,,, "The Contract Should Approve(0) first",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/100.md#l-02-the-contract-should-approve0-first,,
100, L-03,,, "Front-runnable Initializers",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/100.md#l-03-front-runnable-initializers,,
100, L-04,,, "Use safeTransfer/safeTransferFrom consistently instead of transfer/transferFrom",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/100.md#l-04--use-safetransfersafetransferfrom-consistently-instead-of-transfertransferfrom,,
100, L-05,,, "USE SAFEERC20.SAFEAPPROVE INSTEAD OF APPROVE",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/100.md#l-05-use-safeerc20safeapprove-instead-of-approve,,
100, L-06,,, "Swap token can be traded as fake base token", https://code4rena.com/reports/2021-04-vader#h-11-swap-token-can-be-traded-as-fake-base-token,,
101, L-01,,, "Discrepancy between recorded borrow amount in event and state update",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/101.md#01-discrepancy-between-recorded-borrow-amount-in-event-and-state-update,,
101, L-02,,, "Use upgradeable version of OZ contracts",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/101.md#02-use-upgradeable-version-of-oz-contracts,,
101, L-03,,, "calculatePrincipalWithdrawable() should return user balance for CANCELLED status",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/101.md#03-calculateprincipalwithdrawable-should-return-user-balance-for-cancelled-status,,
101, L-04,,, "Use continue instead of return in _beforeTokenTransfer()",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/101.md#04-use-continue-instead-of-return-in-_beforetokentransfer,,
101, L-05,,, "Token approval issues",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/101.md#05-token-approval-issues,,
101, L-06,,, "Typos",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/101.md#06-typos,,
101, L-07,,, "Definition mix-up in documentation",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/101.md#07-definition-mix-up-in-documentation,,
101, L-08,,, "Inconsistent Naming",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/101.md#08-inconsistent-naming,,
102, L-01,,, "Roles management",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/102.md#1-roles-management,,
102, L-02,,, "oraclePrice will be imprecise",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/102.md#02-oracleprice-will-be-imprecise,,
102, L-03,,, "Unnecessary usage of init()",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/102.md#03-unnecessary-usage-of-init,,
102, L-04,,, "Using ecrecover is against best practice",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/102.md#04-using-ecrecover-is-against-best-practice,,
102, L-05,,, "valid in OraclePassThrough/read() always returns true",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/102.md#05-valid-in-oraclepassthroughread-always-returns-true,,
102, L-06,,, "Use Address.sendValue() without import @openzeppelin/contracts/utils/Address.sol",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/102.md#06-use-addresssendvalue-without-import-openzeppelincontractsutilsaddresssol,,
102, L-07,,, "setPublicChainlinkToken only called on chainId 1 and 42",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/102.md#07-setpublicchainlinktoken-only-called-on-chainid-1-and-42,,
102, L-08,,, "Unused functions and modifiers",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/102.md#08-unused-functions-and-modifiers,,
103, L-01,,, "initNXTP can be initialized multiple times.",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/103.md#l-01-initnxtp-can-be-initialized-multiple-times,,
103, L-02,,, " No zero value checks for both _nxtpData.amount and msg.value in startBridgeTokensViaNXTP.",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/103.md#l-02-no-zero-value-checks-for-both-_nxtpdataamount-and-msgvalue-in-startbridgetokensvianxtp,,
103, L-03,,," ""No zero address check for adding DEX contract in addDex, batchAddDex, removeDex and batchRemoveDex.""",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/103.md#l-03-no-zero-address-check-for-adding-dex-contract-in-adddex-batchadddex-removedex-and-batchremovedex,,
103, L-04,,, "Unchecked transfer in WithdrawFacet.sol",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/103.md#l-04-unchecked-transfer-in-withdrawfacetsol,,
104, L-01,,, "Duplication of Balance", https://code4rena.com/reports/2021-05-yield#h-01-duplication-of-balance,,
105, L-01,,, "PaladinRewardReserve's approvals break if the same contract is in charge of two tokens (e.g. a PalPool)",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/105.md#l-01-paladinrewardreserves-approvals-break-if-the-same-contract-is-in-charge-of-two-tokens-eg-a-palpool,,
106, L-01,,, "Loans can be created and paid with non-existent/destructed tokens",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/106.md#l-01-loans-can-be-created-and-paid-with-non-existentdestructed-tokens,,
106, L-02,,, "originationFeeRates of less than 1000 may charge no fees if amounts are small",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/106.md#l-02-originationfeerates-of-less-than-1000-may-charge-no-fees-if-amounts-are-small,,
