Contest ID, Bug ID,,, Bug Description,link,
10, M-01,,, "Unhandled return value of transferFrom in timeLockERC20() could lead to fund loss for recipients",https://github.com/code-423n4/2021-05-visorfinance-findings/issues/39,
10, M-02,,, "transferERC721 doesn't clean timelockERC721s",https://github.com/code-423n4/2021-05-visorfinance-findings/issues/19,
10, M-03,,, "timelockERC721Keys could exceed the block size limit",https://github.com/code-423n4/2021-05-visorfinance-findings/issues/65,
100, M-01,,, "Duplicate _tokenNameSuffix and _tokenSymbolSuffix will incorrectly update current Market",https://github.com/code-423n4/2022-03-prepo-findings/issues/27,
100, M-02,,, "Market expiry behaviour differs in implementation and documentation",https://github.com/code-423n4/2022-03-prepo-findings/issues/28,
100, M-03,,, "getSharesForAmount returns wrong value when totalAssets == 0",https://github.com/code-423n4/2022-03-prepo-findings/issues/55,
100, M-04,,, "SingleStrategyController doesn't verify that new strategy uses the same base token ",https://github.com/code-423n4/2022-03-prepo-findings/issues/62,
100, M-05,,,"""[WP-M10] Wrong formula of getSharesForAmount() can potentially cause fund loss when being used to calculate the shares to be used in withdraw()""",https://github.com/code-423n4/2022-03-prepo-findings/issues/81,
101, M-01,,, "Pool Credit Line May Not Able to Start When _borrowAsset is Non ERC20 Compliant Tokens",https://github.com/code-423n4/2022-03-sublime-findings/issues/27,
101, M-02,,, "[WP-M10] Lack of access control allow anyone to withdrawInterest() for any lender ",https://github.com/code-423n4/2022-03-sublime-findings/issues/59,
101, M-03,,, "Potentially depositing at unfavorable rate since anyone can deposit the entire lenderPool to a known strategy at a pre-fixed time",https://github.com/code-423n4/2022-03-sublime-findings/issues/64,
101, M-04,,, "Interest accrued could be zero for small decimal tokens",https://github.com/code-423n4/2022-03-sublime-findings/issues/10,
102, M-01,,, "vcon address change not persistent across protocol components",https://github.com/code-423n4/2022-03-volt-findings/issues/60,
102, M-02,,, "Setting new buffer does not reduce current buffer to cap",https://github.com/code-423n4/2022-03-volt-findings/issues/29,
102, M-03,,, "Div by 0 ",https://github.com/code-423n4/2022-03-volt-findings/issues/58,
102, M-04,,, "OracleRef assumes backup oracle uses the same normalizer as main oracle",https://github.com/code-423n4/2022-03-volt-findings/issues/26,
